model	mode	startdt	enddt	duration	offdays	notes
alice_kosmos	online	2022-02-26T22:00Z	2022-02-27T05:49Z	469		
alice_kosmos	online	2022-03-02T21:30Z	2022-03-03T04:43Z	433	3	
alice_kosmos	online	2022-03-03T21:33Z	2022-03-04T06:55Z	562		
alice_kosmos	online	2022-03-05T23:30Z	2022-03-06T05:46Z	376	1	
alice_kosmos	online	2022-03-07T01:06Z	2022-03-07T04:25Z	199		
alice_kosmos	online	2022-03-07T23:45Z	2022-03-08T08:28Z	523		
alice_kosmos	online	2022-03-09T22:42Z	2022-03-10T04:43Z	361	1	
alice_kosmos	online	2022-03-10T23:33Z	2022-03-11T05:19Z	346		
alice_kosmos	online	2022-03-11T22:18Z	2022-03-12T05:57Z	459		offline 03:10 to 03:53
alice_kosmos	online	2022-03-24T21:09Z	2022-03-25T03:37Z	388	12	offline 01:07 to 02:08
alice_kosmos	online	2022-03-25T21:27Z	2022-03-26T04:39Z	432		offline 01:34 to 02:20
alice_kosmos	online	2022-03-27T22:45Z	2022-03-28T04:37Z	352	1	offline 01:49 to 02:23
alice_kosmos	online	2022-04-01T22:06Z	2022-04-02T06:01Z	475	4	offline 02:28 to 02:56
alice_kosmos	online	2022-04-02T21:39Z	2022-04-03T05:01Z	442		offline 01:58 to 02:35
alice_kosmos	online	2022-04-03T21:30Z	2022-04-04T06:16Z	526		offline 01:49 to 02:26
alice_kosmos	online	2022-04-06T21:24Z	2022-04-07T00:46Z	202	2	
alice_kosmos	online	2022-04-13T22:30Z	2022-04-14T03:49Z	319	6	
alice_kosmos	online	2022-04-14T23:12Z	2022-04-15T02:07Z	175		
alice_kosmos	online	2022-04-18T22:09Z	2022-04-19T05:34Z	445	3	offline 02:52 to 03:32
alice_kosmos	online	2022-04-21T22:09Z	2022-04-22T04:40Z	391	2	
alice_kosmos	online	2022-04-22T22:18Z	2022-04-23T04:28Z	370		
alice_kosmos	online	2022-04-23T22:39Z	2022-04-24T04:28Z	349		
alice_kosmos	online	2022-04-25T00:48Z	2022-04-25T03:22Z	154		
alice_kosmos	online	2022-04-25T23:03Z	2022-04-26T04:13Z	310		
alice_kosmos	online	2022-04-26T22:21Z	2022-04-27T06:01Z	460		
alice_kosmos	online	2022-04-28T23:06Z	2022-04-29T05:58Z	412	1	offline 02:58 to 03:32
alice_kosmos	online	2022-04-29T22:00Z	2022-04-30T03:58Z	358		
alice_kosmos	online	2022-05-02T22:39Z	2022-05-03T02:34Z	235	2	
alice_kosmos	online	2022-05-03T22:39Z	2022-05-04T05:40Z	421		
alice_kosmos	online	2022-05-05T00:57Z	2022-05-05T09:46Z	529		
alice_kosmos	online	2022-05-08T00:06Z	2022-05-08T08:58Z	532	2	
alice_kosmos	online	2022-05-10T00:42Z	2022-05-10T06:46Z	364	1	offline 04:07 to 04:59
alice_kosmos	online	2022-05-11T22:00Z	2022-05-12T04:01Z	361	1	
alice_kosmos	online	2022-05-12T21:15Z	2022-05-13T00:16Z	181		
alice_kosmos	online	2022-05-16T00:00Z	2022-05-16T07:49Z	469	2	
alice_kosmos	online	2022-05-18T19:42Z	2022-05-19T00:52Z	310	2	
alice_kosmos	online	2022-05-19T23:00Z	2022-05-20T07:25Z	505		offline 04:40 to 05:23
alice_kosmos	online	2022-05-20T22:12Z	2022-05-21T02:52Z	280		
alice_kosmos	online	2022-05-21T22:21Z	2022-05-22T07:01Z	520		offline 04:07 to 04:59
alice_kosmos	online	2022-05-26T23:42Z	2022-05-27T07:46Z	484	4	
alice_kosmos	online	2022-05-29T22:33Z	2022-05-30T04:01Z	328	2	
alice_kosmos	online	2022-05-31T22:33Z	2022-06-01T05:16Z	403		offline 03:43 to 04:14
alice_kosmos	online	2022-06-04T23:03Z	2022-06-05T04:25Z	322	3	
alice_kosmos	online	2022-06-08T22:27Z	2022-06-09T04:49Z	382	3	
alice_kosmos	online	2022-06-10T00:30Z	2022-06-10T05:04Z	274		
alice_kosmos	online	2022-06-12T21:00Z	2022-06-13T04:34Z	454	2	
alice_kosmos	online	2022-06-13T21:54Z	2022-06-14T07:04Z	550		offline 02:28 to 03:23
alice_kosmos	online	2022-06-14T22:27Z	2022-06-15T02:58Z	271		
alice_kosmos	online	2022-06-15T22:21Z	2022-06-16T02:22Z	241		
alice_kosmos	online	2022-06-16T21:15Z	2022-06-17T01:10Z	235		
alice_kosmos	online	2022-06-25T00:21Z	2022-06-25T02:16Z	115	7	
alice_kosmos	online	2022-06-26T00:12Z	2022-06-26T04:37Z	265		
alice_kosmos	online	2022-06-29T22:24Z	2022-06-30T04:13Z	349	3	offline 02:28 to 03:08
alice_kosmos	online	2022-07-02T21:39Z	2022-07-03T03:34Z	355		
alice_kosmos	online	2022-07-03T23:27Z	2022-07-04T07:31Z	484		offline 03:58 to 05:02
alice_kosmos	online	2022-07-11T03:09Z	2022-07-11T07:37Z	268	6	
alice_kosmos	online	2022-07-12T04:27Z	2022-07-12T07:34Z	187		
alice_kosmos	online	2022-07-12T14:15Z	2022-07-12T16:07Z	112		
alice_kosmos	online	2022-07-13T02:36Z	2022-07-13T07:22Z	286		
alice_kosmos	online	2022-07-16T15:15Z	2022-07-16T23:49Z	514	3	offline 16:07 to 16:32, 20:28 to 21:17
alice_kosmos	online	2022-07-21T22:57Z	2022-07-22T05:37Z	400	5	offline 04:31 to 05:05
alice_kosmos	online	2022-07-22T22:12Z	2022-07-23T06:07Z	475		offline 05:04 to 06:05
alice_kosmos	online	2022-07-23T21:57Z	2022-07-24T03:49Z	352		
alice_kosmos	online	2022-08-03T21:24Z	2022-08-04T09:37Z	733	10	offline 05:49 to 06:44
alice_kosmos	online	2022-08-04T21:48Z	2022-08-05T09:16Z	688		
alice_kosmos	online	2022-08-05T21:27Z	2022-08-06T08:37Z	670		offline 05:25 to 06:08
alice_kosmos	online	2022-08-06T21:33Z	2022-08-07T04:16Z	403		
alice_kosmos	online	2022-08-07T22:03Z	2022-08-08T09:58Z	715		offline 03:07 to 03:59
alice_kosmos	online	2022-08-08T22:54Z	2022-08-09T11:34Z	760		offline 03:07 to 03:50
alice_kosmos	online	2022-08-10T22:09Z	2022-08-11T04:01Z	352	1	
alice_kosmos	online	2022-08-11T21:39Z	2022-08-12T06:58Z	559		
alice_kosmos	online	2022-08-13T22:21Z	2022-08-14T05:58Z	457	1	offline 07:31 to 08:08
alice_kosmos	online	2022-08-15T00:03Z	2022-08-15T05:13Z	310		
alice_kosmos	online	2022-08-15T22:09Z	2022-08-16T05:28Z	439		
alice_kosmos	online	2022-08-16T22:42Z	2022-08-17T06:40Z	478		offline 03:52 to 04:41
alice_kosmos	online	2022-08-18T00:30Z	2022-08-18T03:52Z	202		
alice_kosmos	online	2022-08-22T23:57Z	2022-08-23T04:55Z	298	4	
alice_kosmos	online	2022-08-23T22:15Z	2022-08-24T09:10Z	655		offline 06:15 to 07:15
alice_kosmos	online	2022-08-30T23:06Z	2022-08-31T05:46Z	400	6	
alice_kosmos	online	2022-08-31T22:57Z	2022-09-01T10:49Z	712		offline 04:40 to 05:35
alice_kosmos	online	2022-09-02T03:18Z	2022-09-02T09:40Z	382		birthday; offline 06:15 to 07:15
alice_kosmos	online	2022-09-02T22:30Z	2022-09-03T00:48Z	138		birthday
alice_kosmos	online	2022-09-03T21:51Z	2022-09-04T04:10Z	379		
alice_kosmos	online	2022-09-06T21:48Z	2022-09-07T02:13Z	265	2	
